t: 30.13, u: 0.00, e: 0.30, s: 30.00
t: 30.04, u: 0.00, e: 0.30, s: 30.00
t: 30.05, u: 0.00, e: 0.30, s: 30.00
t: 29.90, u: 0.00, e: 0.30, s: 30.00
t: 29.80, u: 0.00, e: 0.30, s: 30.00
t: 29.71, u: 0.39, e: -0.33, s: 30.00
t: 29.97, u: 0.39, e: -0.03, s: 30.00
t: 29.41, u: 0.39, e: -0.60, s: 30.00
t: 29.29, u: 0.39, e: -0.66, s: 30.00
t: 29.30, u: 0.39, e: -0.70, s: 30.00
t: 29.27, u: 0.39, e: -0.62, s: 30.00
t: 29.10, u: 0.39, e: -0.70, s: 30.00
t: 29.10, u: 0.39, e: -0.84, s: 30.00
t: 29.06, u: 0.39, e: -0.86, s: 30.00
t: 29.01, u: 0.39, e: -0.94, s: 30.00
t: 29.11, u: 0.39, e: -0.93, s: 30.00
t: 29.03, u: 0.39, e: -0.88, s: 30.00
t: 29.01, u: 0.39, e: -0.81, s: 30.00
t: 29.17, u: 0.39, e: -0.92, s: 30.00
t: 29.12, u: 0.39, e: -0.90, s: 30.00
t: 29.01, u: 0.39, e: -0.94, s: 30.00
t: 29.30, u: 0.39, e: -0.77, s: 30.00
t: 29.41, u: 0.39, e: -0.84, s: 30.00
t: 29.51, u: 0.39, e: -0.77, s: 30.00
t: 29.32, u: 0.39, e: -0.64, s: 30.00
t: 29.53, u: 0.39, e: -0.51, s: 30.00
t: 29.51, u: 0.39, e: -0.47, s: 30.00
t: 29.60, u: 0.39, e: -0.38, s: 30.00
t: 29.69, u: 0.39, e: -0.40, s: 30.00
t: 29.71, u: 0.39, e: -0.29, s: 30.00
t: 29.84, u: 0.39, e: -0.20, s: 30.00
t: 29.76, u: 0.39, e: -0.18, s: 30.00
t: 29.95, u: 0.39, e: 0.04, s: 30.00
t: 30.04, u: 0.39, e: 0.04, s: 30.00
t: 30.14, u: 0.39, e: 0.12, s: 30.00
t: 30.21, u: 0.39, e: 0.21, s: 30.00
t: 30.25, u: 0.39, e: 0.17, s: 30.00
t: 30.30, u: 0.00, e: 0.27, s: 30.00
t: 30.36, u: 0.00, e: 0.27, s: 30.00
t: 30.41, u: 0.00, e: 0.27, s: 30.00
t: 30.45, u: 0.00, e: 0.27, s: 30.00
t: 30.62, u: 0.00, e: 0.27, s: 30.00
t: 30.56, u: 0.00, e: 0.27, s: 30.00
t: 30.62, u: 0.00, e: 0.27, s: 30.00
t: 30.71, u: 0.00, e: 0.27, s: 30.00
t: 30.66, u: 0.00, e: 0.27, s: 30.00
t: 30.55, u: 0.00, e: 0.27, s: 30.00
t: 30.53, u: 0.00, e: 0.27, s: 30.00
t: 30.47, u: 0.00, e: 0.27, s: 30.00
t: 30.40, u: 0.00, e: 0.27, s: 30.00
t: 30.32, u: 0.00, e: 0.27, s: 30.00
t: 30.23, u: 0.00, e: 0.27, s: 30.00
t: 30.10, u: 0.00, e: 0.27, s: 30.00
t: 30.03, u: 0.00, e: 0.27, s: 30.00
t: 29.99, u: 0.00, e: 0.27, s: 30.00
t: 29.90, u: 0.00, e: 0.27, s: 30.00
t: 29.75, u: 0.39, e: -0.25, s: 30.00
t: 29.62, u: 0.39, e: -0.44, s: 30.00
t: 29.51, u: 0.39, e: -0.49, s: 30.00
t: 29.36, u: 0.39, e: -0.57, s: 30.00
t: 29.36, u: 0.39, e: -0.71, s: 30.00
t: 29.21, u: 0.39, e: -0.70, s: 30.00
t: 29.21, u: 0.39, e: -0.79, s: 30.00
t: 29.05, u: 0.39, e: -0.79, s: 30.00
t: 29.14, u: 0.39, e: -0.90, s: 30.00
t: 29.10, u: 0.39, e: -1.06, s: 30.00
t: 29.06, u: 0.39, e: -1.05, s: 30.00
t: 29.21, u: 0.39, e: -0.99, s: 30.00
t: 29.08, u: 0.39, e: -0.91, s: 30.00
t: 29.16, u: 0.39, e: -0.88, s: 30.00
t: 29.20, u: 0.39, e: -0.82, s: 30.00
t: 29.18, u: 0.39, e: -0.73, s: 30.00
t: 29.34, u: 0.39, e: -0.84, s: 30.00
t: 29.34, u: 0.39, e: -0.86, s: 30.00
t: 29.40, u: 0.39, e: -0.49, s: 30.00
